Source,Target,Type,Id,Label,Weight,0
16964.0,41.0,Undirected,274,,1,0
16964.0,12701.0,Undirected,275,,1,0
16964.0,11524.0,Undirected,276,,1,0
9495.0,17748.0,Undirected,277,,1,0
9495.0,8041.0,Undirected,278,,1,0
9495.0,1457.0,Undirected,279,,1,0
9495.0,4773.0,Undirected,280,,1,0
9495.0,6360.0,Undirected,281,,1,0
1092.0,19154.0,Undirected,282,,1,0
1092.0,1406.0,Undirected,283,,1,0
607.0,10613.0,Undirected,284,,1,0
607.0,8392.0,Undirected,285,,1,0
10613.0,2528.0,Undirected,286,,1,0
6435.0,2150.0,Undirected,287,,1,0
6435.0,9355.0,Undirected,288,,1,0
2150.0,18511.0,Undirected,289,,1,0
6197.0,19238.0,Undirected,290,,1,0
6197.0,810.0,Undirected,291,,1,0
8866.0,11035.0,Undirected,292,,1,0
8866.0,5609.0,Undirected,293,,1,0
11035.0,10795.0,Undirected,294,,1,0
8050.0,16204.0,Undirected,295,,1,0
8050.0,19588.0,Undirected,296,,1,0
8050.0,2475.0,Undirected,297,,1,0
8050.0,2181.0,Undirected,298,,1,0
1916.0,15356.0,Undirected,299,,1,0
1916.0,6527.0,Undirected,300,,1,0
474.0,8007.0,Undirected,301,,1,0
474.0,11234.0,Undirected,302,,1,0
474.0,2265.0,Undirected,303,,1,0
8007.0,10760.0,Undirected,304,,1,0
1544.0,1250.0,Undirected,305,,1,0
1544.0,3223.0,Undirected,306,,1,0
1250.0,2632.0,Undirected,307,,1,0
1250.0,361.0,Undirected,308,,1,0
1250.0,4560.0,Undirected,309,,1,0
5325.0,14562.0,Undirected,310,,1,0
5325.0,6338.0,Undirected,311,,1,0
6638.0,4758.0,Undirected,312,,1,0
6638.0,3101.0,Undirected,313,,1,0
6638.0,4880.0,Undirected,314,,1,0
6638.0,5621.0,Undirected,315,,1,0
4758.0,12033.0,Undirected,316,,1,0
1113.0,4131.0,Undirected,317,,1,0
1113.0,10674.0,Undirected,318,,1,0
4131.0,20720.0,Undirected,319,,1,0
10823.0,5835.0,Undirected,320,,1,0
10823.0,8770.0,Undirected,321,,1,0
5835.0,11112.0,Undirected,322,,1,0
6589.0,14576.0,Undirected,323,,1,0
6589.0,683.0,Undirected,324,,1,0
14576.0,4890.0,Undirected,325,,1,0
14576.0,2129.0,Undirected,326,,1,0
14576.0,7875.0,Undirected,327,,1,0
14576.0,6768.0,Undirected,328,,1,0
11593.0,9751.0,Undirected,329,,1,0
11593.0,17998.0,Undirected,330,,1,0
11593.0,15463.0,Undirected,331,,1,0
11593.0,9845.0,Undirected,332,,1,0
9751.0,1629.0,Undirected,333,,1,0
9751.0,11888.0,Undirected,334,,1,0
12224.0,12851.0,Undirected,335,,1,0
12224.0,7458.0,Undirected,336,,1,0
12224.0,12962.0,Undirected,337,,1,0
12224.0,5017.0,Undirected,338,,1,0
12224.0,17755.0,Undirected,339,,1,0
12224.0,637.0,Undirected,340,,1,0
12224.0,14389.0,Undirected,341,,1,0
12224.0,16335.0,Undirected,342,,1,0
12224.0,12558.0,Undirected,343,,1,0
12224.0,6541.0,Undirected,344,,1,0
9325.0,7631.0,Undirected,345,,1,0
9325.0,2486.0,Undirected,346,,1,0
7631.0,16194.0,Undirected,347,,1,0
